llm,PC1_rescaled,PC2_rescaled,ellipse_width,ellipse_height,angle_deg,sd_pc1,sd_pc2,mahal_q95,item_sd_pc1,item_sd_pc2
glm-5.2 [zh],2.8099423205309626,1.509777175514487,1.3066063434168431,0.7084546045881449,-152.00804756734053,0.24526849599906514,0.1789455164702407,5.920103288824182,0.1125128372714867,0.09818338820638711
gpt-oss:120b,2.862253964440503,2.0186915177250593,0.4974252542995483,0.23767099939798986,175.84281965679452,0.10140255850462658,0.04897825148832941,5.879684901858007,0.07550369232714738,0.05890678416399804
gpt-oss:120b [zh],3.1319804233113495,1.8909278374411538,0.4977245157953087,0.23845362563993694,-139.46178192249616,0.08350062089517693,0.0757427818199381,5.940250644273864,0.07260929528776168,0.06251812409253389
gpt-oss:20b,2.486586945086649,1.4740440174621294,0.4852581705414314,0.44677575140466913,89.07073482013081,0.09126481207288091,0.09912145404355324,5.866131689801834,0.08624470277271339,0.08771388516910066
gpt-oss:20b [zh],1.8752941864553394,1.819175800238981,0.577195837020105,0.3861910460782373,-137.6242599026838,0.10204596991351189,0.09854451668799466,5.852203110466554,0.10826419028529462,0.08658701401001971
kimi-k2.6,1.6938000220113711,1.772338970475638,1.1167816315250492,0.26192342129173013,-150.4068095293591,0.20011833190069422,0.121885066679181,5.7665503662738224,0.10174640916571304,0.05554045848953535
kimi-k2.6 [zh],2.574405478050519,1.8739926093063008,0.9147031549979866,0.28893394265660177,-156.08645224309737,0.17247411136085844,0.09299191169102278,5.8580331988781875,0.09764796196025735,0.060691698167042826
kimi-k2.7-code,1.7973710650113994,1.6983918962664608,1.0828161133598522,0.3853399506300275,-147.37848192710183,0.191065684154834,0.13642964983354325,5.851898558439227,0.10575555749128768,0.08223416771357901
kimi-k2.7-code [zh],2.371290229429559,1.9911502009642195,1.2645105400938934,0.3797354363120891,-152.4177186969625,0.2317442466376312,0.1379522492097207,5.803939608806047,0.11345998254747602,0.08066589593429736
minimax-m2.7,1.849926549074924,1.3692982518275145,0.6369121581802323,0.2024991078114622,161.46039747723617,0.12404917580076476,0.05700239414537743,5.872402258910447,0.09517175398174343,0.05990305740962572
minimax-m2.7 [zh],2.303296043962958,1.236791074524928,0.4128258948727772,0.3240145058789689,-140.11060550442835,0.0773832115416786,0.07418644748100466,5.922800120715474,0.07893903715530114,0.07508442360922271
minimax-m3,1.0757407226047873,1.4209508560815252,0.7302454538045762,0.6155557359871271,162.9236774517415,0.1472936346858629,0.127928496739598,5.729174798591217,0.08112797643611593,0.0800984621240525
minimax-m3 [zh],1.699870280745202,1.601946862073416,0.5530946403497446,0.41773392315353597,133.59614229833824,0.09944150489271074,0.1007829770067547,5.818844339357727,0.09080107694879351,0.08159391537541003
mistral-large-3:675b,1.09183652285133,2.08700810824052,1.1336839290565648,0.19885151748393176,-165.58903719802547,0.22451829950545069,0.06978098461358437,5.801662354282356,0.06964914777849282,0.0386261926404902
mistral-large-3:675b [zh],2.6011604921114366,2.0283919146010123,0.9747127476005741,0.4045596977929133,-166.6117834490401,0.19463600311423523,0.0926741485588962,5.7891085087743,0.08514358307267209,0.06132438014700657
nemotron-3-nano:30b,1.9251140227914496,1.6476547958585008,0.4986894055220038,0.3826837133626698,141.775068663987,0.09350695554793596,0.08799991579947879,6.000895136133955,0.11347196466668336,0.07305596406780575
nemotron-3-nano:30b [zh],2.0873249544509718,1.7213515203094316,0.8155232818940147,0.2947024133310037,132.4007699606467,0.12080747547908435,0.12953960565467398,5.783635196424646,0.10281894901548239,0.09890288147121264
nemotron-3-super,1.7791282344951804,1.6488408157421603,1.2762566275067726,0.1941461475314843,-164.9641885289689,0.2519850375607246,0.07772355372743063,5.7503651705991965,0.11628495911810945,0.053528430384131694
nemotron-3-super [zh],2.2339716503059965,1.9173302810467325,0.6252902647887957,0.3724880284662731,-145.05817920880855,0.11340984354409611,0.09613507984058647,5.879839944403256,0.10609966214603855,0.06147314266043653
nemotron-3-ultra,2.178816641768551,1.6407194163171739,1.0443176983248117,0.3502735324346962,-160.64634825825135,0.20265956094268792,0.09774923615564578,5.884820586927093,0.10913395251716619,0.06598686970488218
qwen3.5:397b,1.7061129834849373,1.7810711437230988,0.6582572495293003,0.26990056368103565,50.494782923969574,0.09553121507979488,0.10951424342879232,5.909902002271841,0.0521404801331755,0.05579172785507489
qwen3.5:397b [zh],2.433650932040864,1.483806306359564,0.6184698254210533,0.247547377009702,-141.0046372696407,0.1032139162917545,0.08868064072321875,5.867427807512993,0.08327272476766452,0.06856868929570306
