country_code,PC1_rescaled_std,PC1_rescaled_min,PC1_rescaled_max,PC2_rescaled_std,PC2_rescaled_min,PC2_rescaled_max,range_pc1,range_pc2
428.0,0.024685927501427743,0.08359540037811394,0.1662828687848092,0.013334439584758141,0.7022418320725488,0.7427416732197735,0.08268746840669525,0.04049984114722471
434.0,0.031167371874065746,-1.0518039739647786,-0.9481077483367,0.016671002580549633,-1.628914262587298,-1.573733153702672,0.10369622562807868,0.05518110888462613
440.0,0.03181584699668013,-0.11119686175317979,-0.006426454092064935,0.018051640716705394,0.7892555181866189,0.8458166868333676,0.10477040766111485,0.05656116864674876
442.0,0.006114142131548073,1.7632843959959423,1.7901731533937904,0.017658585777618096,0.616931124330865,0.6711923523982288,0.026888757397848018,0.054261228067363776
446.0,0.049147902653000154,0.7415962610654083,0.9059344901513262,0.023514959564046287,1.4111117176941104,1.4922180548632331,0.1643382290859179,0.08110633716912274
458.0,0.005831113692474955,-0.28829870266768526,-0.2652729280640794,0.00807346131557029,-0.5285350387328196,-0.4964797092212958,0.02302577460360583,0.03205532951152379
462.0,0.026149453086497753,-0.672140244756181,-0.583454378134902,0.013043545947342652,-1.3019297550082487,-1.2549759386723207,0.08868586662127897,0.04695381633592799
466.0,0.03317063274550894,-0.2204024675580142,-0.10932818936443513,0.007806408054363755,-1.16595513020744,-1.1390265248365588,0.11107427819357908,0.026928605370881264
470.0,0.033909005945438844,-0.1485948672696851,-0.03693877404071822,0.008915457589678485,-1.1966530932001298,-1.168275084485717,0.11165609322896689,0.02837800871441276
484.0,0.033081877760120365,0.35969985266549276,0.4774553539474336,0.02169911829881365,-1.2612936844540594,-1.1937291315992649,0.11775550128194084,0.06756455285479457
496.0,0.031947435761979344,0.5616033316881548,0.6682714054190121,0.0009865346314915267,1.0225949061886288,1.026161063515043,0.1066680737308573,0.0035661573264142987
498.0,0.02892516331477414,-1.2307404438617826,-1.134530458305102,0.04175185410853599,0.31866632185727606,0.45604248209223197,0.0962099855566807,0.1373761602349559
499.0,0.008039081370653426,-0.0605374697447466,-0.03334142512715509,0.006057593087994886,-0.023986831406128513,-0.005734721658228717,0.027196044617591508,0.018252109747899797
504.0,0.008773923771595435,-0.9871516827666463,-0.9580688481521088,0.027150101080915562,-0.7966120304246754,-0.7060922785173631,0.029082834614537534,0.09051975190731232
528.0,0.005885875961240159,2.5463570994162437,2.567210927217202,0.02739539434652471,1.0928434649188048,1.1779564931520066,0.020853827800958236,0.08511302823320177
554.0,0.009125934792418374,2.5417395345720037,2.5754709462599257,0.04216699850458342,0.579759201203813,0.7157773337548996,0.03373141168792193,0.13601813255108663
558.0,0.037592777447076675,-0.4796857071703695,-0.34829603867309783,0.014770964150637736,-1.6168178841108507,-1.5629951111508869,0.13138966849727168,0.05382277295996385
566.0,0.022943329011369168,-0.8829213968110955,-0.8069568539544518,0.015683010003729958,-1.3076383103200642,-1.2561043321921483,0.07596454285664367,0.051533978127915825
578.0,0.02356149505784844,3.053713897887909,3.146020392902534,0.06634587761202537,1.1949202629642621,1.4236113124754806,0.09230649501462507,0.22869104951121844
586.0,0.013646641966590422,-0.6141076447978974,-0.5604181835645896,0.021387539255268307,-1.231807673264614,-1.1566384589275047,0.053689461233307756,0.07516921433710921
604.0,0.02339028667932588,-0.40908695749284546,-0.3221472615529079,0.020383679346203297,-0.9038406918270655,-0.8317406019432991,0.08693969593993756,0.07210008988376637
608.0,0.03800419373559514,-0.03287552885851166,0.09968836650500412,0.01133500130328664,-1.297213988315555,-1.2509661275991613,0.1325638953635158,0.04624786071639364
616.0,0.001369799232413042,0.21888422734642646,0.22364883283933626,0.00782773502797002,-0.3090865838792834,-0.2826993445216371,0.004764605492909801,0.026387239357646308
620.0,0.022655585627597032,0.06300168396117532,0.13987397175291832,0.02613852090939664,-0.3030866296101524,-0.21288064829253514,0.076872287791743,0.09020598131761728
630.0,0.04139807817218179,0.5538714950679262,0.6951744947462125,0.025041745548419442,-1.3055913162800903,-1.22069830894364,0.1413029996782863,0.08489300733645022
634.0,0.05656130257198226,-0.6257019086890742,-0.4361771943511415,0.004371650591148773,-2.1612625094758,-2.1479323565947963,0.18952471433793266,0.013330152881003698
642.0,0.006930703115678776,-0.8067694895865148,-0.781176799828472,0.030917873162326526,-0.2459115649642481,-0.14436201317355965,0.025592689758042853,0.10154955179068845
643.0,0.012784970946909216,-0.3383454293617483,-0.2915647248013108,0.03563603575645974,0.35947021591742917,0.4691487935755052,0.04678070456043748,0.10967857765807604
646.0,0.024761209684439393,-0.823996710805807,-0.74217200553931,0.01899401863445673,-1.2354862183582225,-1.173056194173223,0.0818247052664971,0.062430024184999544
688.0,0.014750922554289014,-0.039712069625855016,0.007658808615536419,0.01959539133336574,0.42843234164717137,0.49598215762837383,0.04737087824139143,0.06754981598120247
702.0,0.016524474337328628,0.3949884695151149,0.4495175433115262,0.01658765209201712,0.10625619685048547,0.1597464083808634,0.05452907379641131,0.05349021153037793
703.0,0.01255628385562922,0.48573045773709467,0.5304419773010579,0.017723131160831514,0.5655878179984091,0.6319323542564902,0.04471151956396324,0.06634453625808112
704.0,0.020471043217991248,0.5176672617781888,0.5835916110337587,0.011233355866011556,-0.36069539764506786,-0.31988217912034655,0.06592434925556989,0.040813218524721306
705.0,0.013975218087713648,1.2274496628952742,1.2706003981509448,0.010380353887107882,0.8626304153144639,0.8933320882367304,0.04315073525567059,0.030701672922266443
710.0,0.016960489920683504,0.06542356265901532,0.12197318370546348,0.00492969843769867,-0.5951285552260162,-0.5778394489001695,0.05654962104644816,0.01728910632584668
716.0,0.016067267891036168,-1.1880502902283432,-1.13253867286694,0.030829516203114953,-1.0544217252051966,-0.9509056801564995,0.0555116173614032,0.10351604504869716
724.0,0.012166189657031591,1.3095352429796008,1.353690662894038,0.01149762842770736,0.5215057912465169,0.5657471079585222,0.044155419914437166,0.044241316712005374
752.0,0.031311198466689054,3.2886501425478065,3.393232330753701,0.06696108182374294,1.6381869166543528,1.8583104811834972,0.1045821882058946,0.2201235645291444
756.0,0.008764481930432173,2.4262613827339816,2.458289702302669,0.043373356142013764,0.873576108402522,1.015427184575078,0.03202831956868746,0.141851076172556
762.0,0.034185140330147225,-0.33607385655609867,-0.22662461975685,0.013650046724810109,-1.3608665491940939,-1.3054611641610814,0.10944923679924867,0.05540538503301251
764.0,0.029624796250063545,0.15123510471976004,0.25006699346657046,0.03410796622752536,-0.19442520565200846,-0.08327681766815828,0.09883188874681043,0.11114838798385018
780.0,0.0448140416764659,-0.48024815249589925,-0.3308953280310948,0.014208777129341172,-1.7160331877820985,-1.6637891243791725,0.14935282446480447,0.05224406340292598
788.0,0.01081821070443124,-1.2890455319654974,-1.2540009839120463,0.041685470706183954,-0.7709397834310673,-0.6351268412516157,0.03504454805345114,0.1358129421794516
792.0,0.0035046167231879946,-0.7124716735409837,-0.6982610855869456,0.009112316660054342,-0.7943068678438188,-0.7644274945020253,0.014210587954038179,0.02987937334179347
